,CURRENT_PRICE,PREDICTED_PRICE
2025-04-26 10:08:30,,283.91324
2025-04-26 10:09:30,,283.91324
2025-04-26 10:10:30,,283.91324
2025-04-26 10:11:30,,283.91324
2025-04-26 10:12:30,,283.91324
2025-04-26 10:13:30,,283.91324
2025-04-26 10:14:30,,283.91324
2025-04-26 10:15:30,,283.91324
2025-04-26 10:16:30,,283.91324
2025-04-26 10:17:30,,283.91324
2025-04-26 10:18:30,,283.91324
2025-04-26 10:19:30,,283.91324
2025-04-26 10:20:30,,283.91324
2025-04-26 10:21:30,,283.91324
2025-04-26 10:22:30,,283.91324
2025-04-26 10:23:30,,283.91324
2025-04-26 10:24:30,,283.91324
2025-04-26 10:25:30,,283.91324
2025-04-26 10:26:30,,283.91324
2025-04-26 10:27:30,,283.91324
2025-04-26 10:28:30,,283.91324
2025-04-26 10:29:30,,283.91324
2025-04-26 10:30:30,,283.91324
2025-04-26 10:31:30,,283.91324
2025-04-26 10:32:30,,283.91324
2025-04-26 10:33:30,,283.91324
2025-04-26 10:34:30,,283.91324
2025-04-26 10:35:30,,283.91324
2025-04-26 10:36:30,,283.91324
2025-04-26 10:37:30,,283.91324
2025-04-26 10:38:30,,283.91324
2025-04-26 10:39:30,,283.91324
2025-04-26 10:40:30,,283.91324
2025-04-26 10:41:30,,283.91324
2025-04-26 10:42:30,,283.91324
2025-04-26 10:43:30,,283.91324
2025-04-26 10:44:30,,283.91324
2025-04-26 10:45:30,,283.91324
2025-04-26 10:46:30,,283.91324
2025-04-26 10:47:30,,283.91324
2025-04-26 10:48:30,,283.91324
2025-04-26 10:49:30,,283.91324
2025-04-26 10:50:30,,283.91324
2025-04-26 10:51:30,,283.91324
2025-04-26 10:52:30,,283.91324
2025-04-26 10:53:30,,283.91324
2025-04-26 10:54:30,,283.91324
2025-04-26 10:55:30,,283.91324
2025-04-26 10:56:30,,283.91324
2025-04-26 10:57:30,,283.91324
2025-04-26 10:58:30,,283.91324
2025-04-26 10:59:30,,283.91324
2025-04-26 11:00:30,,283.91324
2025-04-26 11:01:30,,283.91324
2025-04-26 11:02:30,,283.91324
2025-04-26 11:03:30,,283.91324
2025-04-26 11:04:30,,283.91324
2025-04-26 11:05:30,,283.91324
2025-04-26 11:06:30,,283.91324
2025-04-26 11:07:30,,283.91324
2025-04-26 11:08:30,,283.91324
2025-04-26 11:09:30,,283.91324
2025-04-26 11:10:30,,283.91324
2025-04-26 11:11:30,,283.91324
2025-04-26 11:12:30,,283.91324
2025-04-26 11:13:30,,283.91324
2025-04-26 11:14:30,,283.91324
2025-04-26 11:15:30,,283.91324
2025-04-26 11:16:30,,283.91324
2025-04-26 11:17:30,,283.91324
2025-04-26 11:18:30,,283.91324
2025-04-26 11:19:30,,283.91324
2025-04-26 11:20:30,,283.91324
2025-04-26 11:21:30,,283.91324
2025-04-26 11:22:30,,283.91324
2025-04-26 11:23:30,,283.91324
2025-04-26 11:24:30,,283.91324
2025-04-26 11:25:30,,283.91324
2025-04-26 11:26:30,,283.91324
2025-04-26 11:27:30,,283.91324
2025-04-26 11:28:30,,283.91324
2025-04-26 11:29:30,,283.91324
2025-04-26 11:30:30,,283.91324
2025-04-26 11:31:30,,283.91324
2025-04-26 11:32:30,,283.91324
2025-04-26 11:33:30,,283.91324
2025-04-26 11:34:30,,283.91324
2025-04-26 11:35:30,,283.91324
2025-04-26 11:36:30,,283.91324
2025-04-26 11:37:30,,283.91324
