,STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
2025-04-17 12:21:00,AAPL,197.6244,197.8304,197.47091674804688
2025-04-17 12:22:00,AAPL,197.83,197.64,197.52041625976562
2025-04-17 12:23:00,AAPL,197.65,197.84,197.55511474609375
2025-04-17 12:24:00,AAPL,197.84,197.79,197.5923614501953
2025-04-17 12:25:00,AAPL,197.8,197.824,197.62464904785156
2025-04-17 12:26:00,AAPL,197.805,197.775,197.65374755859375
2025-04-17 12:27:00,AAPL,197.76,197.6701,197.67503356933594
2025-04-17 12:28:00,AAPL,197.72,197.775,197.68212890625
2025-04-17 12:29:00,AAPL,197.79,197.805,197.687255859375
2025-04-17 12:30:00,AAPL,197.826,197.65,197.69264221191406
2025-04-17 12:31:00,AAPL,197.659,197.88,197.68638610839844
2025-04-17 12:32:00,AAPL,197.8748,197.665,197.68972778320312
2025-04-17 12:33:00,AAPL,197.65,198.05,197.6830596923828
2025-04-17 12:34:00,AAPL,198.06,198.0547,197.69821166992188
2025-04-17 12:35:00,AAPL,198.055,198.195,197.72598266601562
2025-04-17 12:36:00,AAPL,198.18,197.9675,197.7696075439453
2025-04-17 12:37:00,AAPL,197.97,197.865,197.80355834960938
2025-04-17 12:38:00,AAPL,197.89,197.89,197.82177734375
2025-04-17 12:39:00,AAPL,197.88,197.8,197.8307342529297
2025-04-17 12:40:00,AAPL,197.79,197.8266,197.82667541503906
2025-04-17 12:41:00,AAPL,197.84,197.84,197.81661987304688
2025-04-17 12:42:00,AAPL,197.82,197.8,197.8043975830078
2025-04-17 12:43:00,AAPL,197.8,197.46,197.78860473632812
2025-04-17 12:44:00,AAPL,197.42,197.34,197.74713134765625
2025-04-17 12:45:00,AAPL,197.33,197.2055,197.6840057373047
2025-04-17 12:46:00,AAPL,197.23,197.67,197.60203552246094
2025-04-17 12:47:00,AAPL,197.7,197.64,197.5474853515625
2025-04-17 12:48:00,AAPL,197.6659,197.45,197.51133728027344
2025-04-17 12:49:00,AAPL,197.45,197.73,197.47552490234375
2025-04-17 12:50:00,AAPL,197.75,198.0353,197.46270751953125
2025-04-17 12:51:00,AAPL,198.05,197.8876,197.48709106445312
2025-04-17 12:52:00,AAPL,197.91,198.3015,197.5223388671875
2025-04-17 12:53:00,AAPL,198.32,198.27,197.5919189453125
2025-04-17 12:54:00,AAPL,198.27,198.235,197.6758575439453
2025-04-17 12:55:00,AAPL,198.23,198.325,197.7605438232422
2025-04-17 12:56:00,AAPL,198.318,198.37,197.84642028808594
2025-04-17 12:57:00,AAPL,198.37,198.215,197.93035888671875
2025-04-17 12:58:00,AAPL,198.225,198.345,197.99607849121094
2025-04-17 12:59:00,AAPL,198.33,198.17,198.05523681640625
2025-04-17 13:00:00,AAPL,198.16,198.25,198.0933837890625
2025-04-17 13:01:00,AAPL,198.25,198.31,198.12147521972656
2025-04-17 13:02:00,AAPL,198.295,198.26,198.14537048339844
2025-04-17 13:03:00,AAPL,198.245,197.9768,198.16111755371094
2025-04-17 13:04:00,AAPL,198.01,197.92,198.15003967285156
2025-04-17 13:05:00,AAPL,197.88,197.72,198.11883544921875
2025-04-17 13:06:00,AAPL,197.725,197.65,198.0626220703125
2025-04-17 13:07:00,AAPL,197.65,197.81,197.98960876464844
2025-04-17 13:08:00,AAPL,197.81,197.9,197.92251586914062
