ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-24 20:38:30,293.82451752118106,283.55445691202317,286.3009377012542,293.8238667255021,293.82525838286995,-8.88290721631516,-8.88290721631516,-8.88290721631516,-8.88290721631516,-8.88290721631516,-8.88290721631516,0.0,0.0,0.0,284.9416103048659
2025-04-24 20:39:30,293.82476171755917,283.535608748862,286.3756169255747,293.8240172825862,293.825612276965,-8.841097889134387,-8.841097889134387,-8.841097889134387,-8.841097889134387,-8.841097889134387,-8.841097889134387,0.0,0.0,0.0,284.98366382842477
2025-04-24 20:40:30,293.8250059139372,283.5683149077556,286.4093620438353,293.82423152610767,293.8259329873401,-8.798220950801133,-8.798220950801133,-8.798220950801133,-8.798220950801133,-8.798220950801133,-8.798220950801133,0.0,0.0,0.0,285.0267849631361
2025-04-24 20:41:30,293.8252501103153,283.61058644416397,286.335686199133,293.82427959079337,293.82623173997905,-8.75426348957617,-8.75426348957617,-8.75426348957617,-8.75426348957617,-8.75426348957617,-8.75426348957617,0.0,0.0,0.0,285.0709866207392
2025-04-24 20:42:30,293.82549430669343,283.8069998833768,286.5621259579982,293.82445506945817,293.8265340805978,-8.709212681466983,-8.709212681466983,-8.709212681466983,-8.709212681466983,-8.709212681466983,-8.709212681466983,0.0,0.0,0.0,285.11628162522646
2025-04-24 20:43:30,293.82573850307153,283.8359120765773,286.4800973234293,293.8246431872383,293.8268498664644,-8.663055792835312,-8.663055792835312,-8.663055792835312,-8.663055792835312,-8.663055792835312,-8.663055792835312,0.0,0.0,0.0,285.1626827102362
2025-04-24 20:44:30,293.8259826994496,283.78329599857835,286.59830417582003,293.8247403609911,293.82715367807396,-8.615780187240162,-8.615780187240162,-8.615780187240162,-8.615780187240162,-8.615780187240162,-8.615780187240162,0.0,0.0,0.0,285.21020251220943
2025-04-24 20:45:30,293.82622689582774,283.84994182091407,286.685461022252,293.82493626161056,293.82745748968364,-8.567373330704395,-8.567373330704395,-8.567373330704395,-8.567373330704395,-8.567373330704395,-8.567373330704395,0.0,0.0,0.0,285.25885356512333
2025-04-24 20:46:30,293.82647109220585,284.03348369077264,286.8072372453952,293.82505646906685,293.8277667009703,-8.51782279583117,-8.51782279583117,-8.51782279583117,-8.51782279583117,-8.51782279583117,-8.51782279583117,0.0,0.0,0.0,285.30864829637466
2025-04-24 20:47:30,293.82671528858396,283.9971504498394,286.7765525133222,293.825200334801,293.8281092669009,-8.467116266845148,-8.467116266845148,-8.467116266845148,-8.467116266845148,-8.467116266845148,-8.467116266845148,0.0,0.0,0.0,285.3595990217388
2025-04-24 20:48:30,293.826959484962,283.9782499966514,286.7533171203897,293.8252764826346,293.8284515341054,-8.415241546038589,-8.415241546038589,-8.415241546038589,-8.415241546038589,-8.415241546038589,-8.415241546038589,0.0,0.0,0.0,285.4117179389234
2025-04-24 20:49:30,293.8272036813401,284.12333487100744,286.85661742994,293.82546659991607,293.8288702475135,-8.36218655746144,-8.36218655746144,-8.36218655746144,-8.36218655746144,-8.36218655746144,-8.36218655746144,0.0,0.0,0.0,285.4650171238787
2025-04-24 20:50:30,293.8274478777182,284.1287496026482,286.99042559225035,293.825406174087,293.8292113594911,-8.307939352913243,-8.307939352913243,-8.307939352913243,-8.307939352913243,-8.307939352913243,-8.307939352913243,0.0,0.0,0.0,285.51950852480496
2025-04-24 20:51:30,293.8276920740963,284.2096136142764,287.0121585817167,293.82558410256536,293.82952679199684,-8.25248811685575,-8.25248811685575,-8.25248811685575,-8.25248811685575,-8.25248811685575,-8.25248811685575,0.0,0.0,0.0,285.57520395724055
2025-04-24 20:52:30,293.82793627047437,284.259128849898,286.9959442855732,293.8257288812193,293.8300315177242,-8.195821171168395,-8.195821171168395,-8.195821171168395,-8.195821171168395,-8.195821171168395,-8.195821171168395,0.0,0.0,0.0,285.63211509930596
2025-04-24 20:53:30,293.82818046685253,284.2823663999622,287.03970084404716,293.8258747815188,293.8303634635756,-8.137926981598623,-8.137926981598623,-8.137926981598623,-8.137926981598623,-8.137926981598623,-8.137926981598623,0.0,0.0,0.0,285.6902534852539
2025-04-24 20:54:30,293.82842466323063,284.380380530627,287.11083538907496,293.8259885880977,293.83072027990454,-8.078794161461207,-8.078794161461207,-8.078794161461207,-8.078794161461207,-8.078794161461207,-8.078794161461207,0.0,0.0,0.0,285.74963050176945
2025-04-24 20:55:30,293.82866885960874,284.47061502506705,287.1788614510117,293.8259784798004,293.8310366809518,-8.018411476886556,-8.018411476886556,-8.018411476886556,-8.018411476886556,-8.018411476886556,-8.018411476886556,0.0,0.0,0.0,285.81025738272217
2025-04-24 20:56:30,293.8289130559868,284.472615243198,287.2222113609471,293.82614343257444,293.8314776203136,-7.956767854395531,-7.956767854395531,-7.956767854395531,-7.956767854395531,-7.956767854395531,-7.956767854395531,0.0,0.0,0.0,285.87214520159125
2025-04-24 20:57:30,293.8291572523649,284.5832156942627,287.33004304357445,293.82630983208793,293.8318269445912,-7.893852381817909,-7.893852381817909,-7.893852381817909,-7.893852381817909,-7.893852381817909,-7.893852381817909,0.0,0.0,0.0,285.935304870547
2025-04-24 20:58:30,293.829401448743,284.57223513365057,287.31946524781785,293.8263841563188,293.83213691548326,-7.829654318414077,-7.829654318414077,-7.829654318414077,-7.829654318414077,-7.829654318414077,-7.829654318414077,0.0,0.0,0.0,285.9997471303289
2025-04-24 20:59:30,293.8296456451211,284.6397180968338,287.47716606625755,293.8265272861021,293.8324819774667,-7.764163095399075,-7.764163095399075,-7.764163095399075,-7.764163095399075,-7.764163095399075,-7.764163095399075,0.0,0.0,0.0,286.06548254972205
